"","donor_code","donornameE","agency_code","crs_agency_name","loc_agency_acronym","agencynameE","total_usd_disbursement","usd_extended_defl","X","Donor.name..EN.","Agency.name..EN.","Acronym"
"237",8,"Norway",12,"ENV","ENV","Ministry of Climate and Environment","116.351789",NA,NA,NA,NA,NA
"238",8,"Norway",99,"MISC","MISC","Miscellaneous","NULL",NA,NA,NA,NA,NA
"239",951,"OPEC Fund for International Development [OFID]",1,"OFID","NULL","NULL","1148.289426",NA,NA,NA,NA,NA
"240",978,"OSCE",1,"OSCE","NULL","NULL","130.509138",NA,NA,NA,NA,NA
"241",76,"Poland",1,"MFA","MFA","Ministry of Foreign Affairs","30.11630798",69.524826029,NA,NA,NA,NA
"242",76,"Poland",2,"MSHE","MSHE","Ministry of Science and Higher Education","27.24621838",NA,NA,NA,NA,NA
"243",76,"Poland",3,"INT","MI","Ministry of the Interior","1.807899057",NA,NA,NA,NA,NA
"244",76,"Poland",4,"MCNH","MCNH","Ministry of Culture and National Heritage","2.921231497",0.00111,NA,NA,NA,NA
"245",76,"Poland",5,"FIN","MF","Ministry of Finance","38.342044",285.435283116,NA,NA,NA,NA
"246",76,"Poland",6,"ENV","ME","Ministry of the Environment","0.403672",2.665746533,NA,NA,NA,NA
"247",76,"Poland",99,"MISC","MISC","Miscellaneous","2.71450939",7.755548982,NA,NA,NA,NA
"248",9,"Portugal",1,"GP","GP","Portuguese Government","259.4442334",182.230856587,NA,NA,NA,NA
"249",9,"Portugal",2,"CICL","IPAD","Institute for Portuguese Development Aid","24.63296955",NA,NA,NA,NA,NA
"250",9,"Portugal",3,"MUNIC","MUNIC","Municipalities","0.056803816",NA,NA,NA,NA,NA
"251",9,"Portugal",4,"SOFID Society for Development Financ","SOFID Society for Development Financing","SOFID Sociedade para o Financiamento do Desenvolvimento","2.680112",NA,NA,NA,NA,NA
"252",9,"Portugal",99,"MISC","MISC","Miscellaneous","6.48150041",NA,NA,NA,NA,NA
"253",77,"Romania",1,"MFA","NULL","NULL","13.75804481",NA,NA,NA,NA,NA
"254",77,"Romania",3,"NULL","NULL","NULL","0.00522412",NA,NA,NA,NA,NA
"255",77,"Romania",4,"DEF","NULL","NULL","0.000895588",NA,NA,NA,NA,NA
"256",77,"Romania",6,"NULL","NULL","NULL","0.000852059",NA,NA,NA,NA,NA
"257",77,"Romania",12,"NULL","NULL","NULL","0.004046346",NA,NA,NA,NA,NA
"258",77,"Romania",13,"NULL","NULL","NULL","0.029828234",NA,NA,NA,NA,NA
"259",77,"Romania",14,"JUSTICE","NULL","NULL","0.001055035",NA,NA,NA,NA,NA
"260",77,"Romania",16,"NULL","NULL","NULL","29.91294",NA,NA,NA,NA,NA
"261",77,"Romania",18,"NULL","NULL","NULL","0.000819432",NA,NA,NA,NA,NA
"262",77,"Romania",20,"INT","NULL","NULL","1.159223399",NA,NA,NA,NA,NA
"263",77,"Romania",21,"AGRI","NULL","NULL","0.00741476",NA,NA,NA,NA,NA
"264",77,"Romania",22,"MoH","NULL","NULL","0.6332049",NA,NA,NA,NA,NA
"265",77,"Romania",26,"NULL","NULL","NULL","0.213053496",NA,NA,NA,NA,NA
"266",77,"Romania",28,"EDUC","NULL","NULL","22.9847278",NA,NA,NA,NA,NA
"267",77,"Romania",29,"NULL","NULL","NULL","0.0115247",NA,NA,NA,NA,NA
"268",77,"Romania",31,"GOV","NULL","NULL","1.12161",NA,NA,NA,NA,NA
"269",69,"Slovak Republic",1,"MZVaEZ","NULL","NULL","2.02069",NA,NA,NA,NA,NA
"270",69,"Slovak Republic",2,"SAMRS","NULL","NULL","5.12262",NA,NA,NA,NA,NA
"271",69,"Slovak Republic",3,"FIN","NULL","NULL","3.43108",NA,NA,NA,NA,NA
"272",69,"Slovak Republic",4,"MSVVS","NULL","NULL","3.11798",NA,NA,NA,NA,NA
"273",69,"Slovak Republic",5,"INT","NULL","NULL","2.57795",NA,NA,NA,NA,NA
"274",69,"Slovak Republic",18,"NULL","NULL","NULL","0.09554",NA,NA,NA,NA,NA
"275",61,"Slovenia",1,"FIN","FIN","Ministry of finance","1.356918502",NA,NA,NA,NA,NA
"276",61,"Slovenia",2,"MFA","MFA","Ministry of foreign affairs","7.160688576",9.462811361,NA,NA,NA,NA
"277",61,"Slovenia",3,"INT","INT","Ministry of interior","3.3426432",NA,NA,NA,NA,NA
"278",61,"Slovenia",4,"DEF","DEF","Ministry of Defence","1.8574268",0.074539527,NA,NA,NA,NA
"279",61,"Slovenia",99,"MISC","MISC","Misc.","6.494778719",NA,NA,NA,NA,NA
"280",50,"Spain",4,"AGR","AGR","Ministry of Agriculture, Fisheries, and Food","1.57651415",0.263908044,NA,NA,NA,NA
"281",50,"Spain",5,"MFA","MFA","Ministry of Foreign Affairs and Co-operation","99.97358878",98.198223564,"Spain - Ministry of Foreign Affairs and Cooperation","Spain","Ministry of Foreign Affairs and Co-operation","MFA"
"282",50,"Spain",6,"ECON","ECON","Ministry of Economy and Competitiveness","3.300621694",288.740153873,NA,NA,NA,NA
"283",50,"Spain",7,"EDUC","EDUC","Ministry of Education, Culture and Sports","1.86893222",0.198953308,NA,NA,NA,NA
"284",50,"Spain",8,"MPW","MPW","Ministry of Public Works","0.531924156",0.165246335,NA,NA,NA,NA
"285",50,"Spain",9,"MIE","MIE","Ministry of Industry and Energy","0.381871998",0.455523495,NA,NA,NA,NA
"286",50,"Spain",11,"MOH","MOH","Ministry of Health","0.55756002",NA,NA,NA,NA,NA
"287",50,"Spain",12,"EMP","EMP","Ministry of Labour and Social Affairs","21.05235942",NA,NA,NA,NA,NA
"288",50,"Spain",13,"INT","INT","Ministry of Interior","1.06392367",NA,NA,NA,NA,NA
"289",50,"Spain",14,"MPA","MPA","Ministry of Public Administration","0.22110593",1024.39276,NA,NA,NA,NA
"290",50,"Spain",15,"AG","AG","Autonomous Governments","144.4746041",NA,NA,NA,NA,NA
"291",50,"Spain",16,"MUNIC","MUNIC","Municipalities","71.9153891",NA,NA,NA,NA,NA
"292",50,"Spain",19,"DEF","DEF","Ministry of Defence","14.89315198",NA,NA,NA,NA,NA
"293",50,"Spain",20,"UNIV","UNIV","Public Universities","13.29964226",NA,NA,NA,NA,NA
"294",50,"Spain",21,"AECID","AECID","Spanish Agency for International Development Co-operation","333.9554234",NA,NA,NA,NA,NA
"295",50,"Spain",22,"NULL","Oth. Min.","Others ministries","0.2122489",NA,NA,NA,NA,NA
"296",10,"Sweden",2,"MFA","MFA","Ministry of Foreign Affairs","1324.268781",1921.848197755,"Sweden (Sida)","Sweden","Ministry of Foreign Affairs","MFA"
"297",10,"Sweden",6,"Sida","Sida","Swedish International Development Authority","2936.426182",43.044184284,"Sweden (Sida)","Sweden","Swedish International Development Authority","Sida"
"298",10,"Sweden",11,"ENV","NULL","NULL","3.0764672",NA,NA,NA,NA,NA
"299",10,"Sweden",20,"NULL","NULL","NULL","25.69745223",NA,NA,NA,NA,NA
"300",10,"Sweden",21,"NULL","NULL","NULL","4.11901",NA,NA,NA,NA,NA
"301",10,"Sweden",22,"NULL","NULL","NULL","23.9037141",NA,NA,NA,NA,NA
"302",10,"Sweden",23,"NULL","NULL","NULL","21.78990606",NA,NA,NA,NA,NA
"303",10,"Sweden",24,"NULL","NULL","NULL","35.1361053",NA,NA,NA,NA,NA
"304",10,"Sweden",25,"NULL","NULL","NULL","3.2799329",NA,NA,NA,NA,NA
"305",10,"Sweden",27,"NULL","NULL","NULL","5.798129",NA,NA,NA,NA,NA
"306",10,"Sweden",28,"NULL","NULL","NULL","1.902364",NA,NA,NA,NA,NA
"307",10,"Sweden",29,"NULL","NULL","NULL","25.70708473",NA,NA,NA,NA,NA
"308",10,"Sweden",30,"NULL","NULL","NULL","2.41421294",NA,NA,NA,NA,NA
"309",10,"Sweden",31,"NULL","NULL","NULL","0.262394",NA,NA,NA,NA,NA
"310",10,"Sweden",32,"NULL","NULL","NULL","0.2674967",NA,NA,NA,NA,NA
"311",10,"Sweden",36,"SwedFund","NULL","NULL","50.6685434",NA,NA,NA,NA,NA
"312",10,"Sweden",37,"NULL","NULL","NULL","0.40088",NA,NA,NA,NA,NA
"313",10,"Sweden",38,"NULL","NULL","NULL","0.523477",NA,NA,NA,NA,NA
"314",11,"Switzerland",1,"FA","FA","Federal Administration (various departments)","568.3268806",65.504241987,NA,NA,NA,NA
"315",11,"Switzerland",4,"SDC","SDC","Swiss Agency for Development and Co-operation","1655.410561",627.066732545,"Switzerland - Swiss Agency for Development and Cooperation (SDC)","Switzerland","Swiss Agency for Development and Co-operation","SDC"
"316",11,"Switzerland",5,"Seco","Seco","State Secretariat for Economic Affairs","477.3280391",4.13296442,NA,NA,NA,NA
"317",11,"Switzerland",6,"DFA","DFA","Federal Department of Foreign Affairs","124.0955225",35.785850883,NA,NA,NA,NA
"318",11,"Switzerland",11,"MUNIC","MUNIC","Municipalities","56.08825711",NA,NA,NA,NA,NA
"319",923,"UN Peacebuilding Fund [UNPBF]",1,"UNPBF","NULL","NULL","65.01090398",NA,NA,NA,NA,NA
"320",971,"UNAIDS",1,"UNAIDS","NULL","NULL","238.6720169",NA,NA,NA,NA,NA
"321",959,"UNDP",1,"UNDP","NULL","NULL","462.9682182",NA,NA,NA,NA,NA
"322",948,"UNECE",1,"UNECE","NULL","NULL","14.008016",NA,NA,NA,NA,NA
"323",974,"UNFPA",1,"UNFPA","NULL","NULL","340.0066301",NA,NA,NA,NA,NA
"324",967,"UNHCR",1,"UNHCR","NULL","NULL","480.0821",NA,NA,NA,NA,NA
"325",963,"UNICEF",1,"UNICEF","NULL","NULL","1342.399663",NA,NA,NA,NA,NA
"326",576,"United Arab Emirates",2,"FIN","DOF","Abu Dhabi Department of Finance","3574.86109",NA,NA,NA,NA,NA
"327",576,"United Arab Emirates",3,"ADFD","ADFD","Abu Dhabi Fund for Development","1394.61479",NA,NA,NA,NA,NA
"328",576,"United Arab Emirates",7,"IHC","IHC","International Humanitarian City","10.77179",3.250080498,NA,NA,NA,NA
"329",576,"United Arab Emirates",8,"MBZ","NULL","NULL","0.89554",NA,NA,NA,NA,NA
"330",576,"United Arab Emirates",9,"MICAD","NULL","NULL","14.3447",NA,NA,NA,NA,NA
"331",576,"United Arab Emirates",17,"KBZ","KZF","Khalifa Bin Zayed Al Nahyan Foundation","170.07831",NA,NA,NA,NA,NA
"332",576,"United Arab Emirates",18,"MBR","MRHC","Mohammed Bin Rashid Al Maktoum Humanitarian and Charity Establishment","10.18256",NA,NA,NA,NA,NA
"333",576,"United Arab Emirates",19,"ZBS","ZCHF","Zayed Bin Sultan Al Nahyan Charitable and Humanitarian Foundation","0.65264",NA,NA,NA,NA,NA
"334",576,"United Arab Emirates",22,"RCA","RCA","UAE Red Crescent Authority","106.42612",NA,NA,NA,NA,NA
"335",576,"United Arab Emirates",25,"GOV","OTHER","Other Government Entitites","257.55209",119.713922385,NA,NA,NA,NA
"336",576,"United Arab Emirates",99,"MISC","MISC","Miscellaneous","24.48746",NA,NA,NA,NA,NA
"337",12,"United Kingdom",1,"DFID","DFID","Department for International Development","9809.236117",6495.308548459,"UK - Department for International Development (DFID)","United Kingdom","Department for International Development","DFID"
"338",12,"United Kingdom",2,"CDC","CDC","CDC Capital Partners PLC","608.350974",NA,"CDC Group plc","United Kingdom","CDC Capital Partners PLC","CDC"
"339",12,"United Kingdom",3,"FCO","FCO","Foreign & Commonwealth Office","537.4224174",66.50448176,"UK - Foreign & Commonwealth Office","United Kingdom","Foreign & Commonwealth Office","FCO"
"340",12,"United Kingdom",4,"DECC","DECC","Department of Energy and Climate Change","125.0586536",178.723342992,"UK - Department of Energy and Climate Change","United Kingdom","Department of Energy and Climate Change","DECC"
"341",12,"United Kingdom",5,"ECGD","ECGD","Export Credit Guarantee Department","5.321836563",NA,"UK - Department for International Development (DFID)","United Kingdom","Export Credit Guarantee Department","ECGD"
"342",12,"United Kingdom",6,"HO","HO","Home Office","221.9148",1.246654643,"UK - Home Office","United Kingdom","Home Office","HO"
"343",12,"United Kingdom",7,"DEFRA","DEFRA","Department for Environment Food and Rural Affairs","77.24404124",16.242320657,"UK - Department for Environment, Food and Rural Affairs","United Kingdom","Department for Environment Food and Rural Affairs","DEFRA"
"344",12,"United Kingdom",8,"MOD","MOD","Ministry of Defence","3.553683558",NA,"UK - Ministry of Defence","United Kingdom","Ministry of Defence","MOD"
"345",12,"United Kingdom",11,"BIS","BIS","Department for Business, Innovation and Skills","130.1062221",NA,NA,NA,NA,NA
"346",12,"United Kingdom",21,"SG","SG","Scottish Government","19.26845528",NA,"UK - Scottish Government","United Kingdom","Scottish Government","SG"
"347",12,"United Kingdom",22,"WAG","WAG","Welsh Assembly Government","1.6998646",NA,"UK - Welsh Government's Wales for Africa Programme","United Kingdom","Welsh Assembly Government","WAG"
"348",12,"United Kingdom",99,"MISC","MISC","Miscellaneous","412.8921453",745.813324009,NA,NA,NA,NA
"349",302,"United States",1,"AID","AID","Agency for International Development","17069.8156",1814.14602191,"United States","United States","Agency for International Development","USAID"
"350",302,"United States",2,"AGR","AGR","Department of Agriculture","306.0224",NA,"United States","United States","Department of Agriculture","AGR"
"351",302,"United States",6,"DTRE","DTRE","Department of Treasury","150.14505",2645.751904505,"United States","United States","Department of Treasury","DTRE"
"352",302,"United States",7,"DOD","DOD","Department of Defense","399.03252",NA,"United States","United States","Department of Defense","DOD"
"353",302,"United States",9,"INT","INTERIOR","Department of the Interior","185.0477",NA,NA,NA,NA,NA
"354",302,"United States",10,"PEACE","PEACE","Peace Corps","407.96018",NA,"United States","United States","Peace Corps","PEACE"
"355",302,"United States",11,"STATE","STATE","State Department","5276.64347",1043.210460281,"United States","United States","State Department","STATE"
"356",302,"United States",12,"TDA","TDA","Trade and Development Agency","39.40671",NA,NA,NA,NA,NA
"357",302,"United States",13,"ADF","ADF","African Development Foundation","25.85213",NA,"United States","United States","African Development Foundation","ADF"
"358",302,"United States",14,"HHS","HHS","Department of Health and Human Services","3362.75481",NA,"United States","United States","Department of Health and Human Services","HHS"
"359",302,"United States",15,"JUSTICE","JUSTICE","Department of Justice","4.65336",NA,NA,NA,NA,NA
"360",302,"United States",16,"COMMERCE","COMMERCE","Department of Commerce","13.48978",NA,NA,NA,NA,NA
"361",302,"United States",17,"LABOR","LABOR","Department of Labor","67.05426",NA,NA,NA,NA,NA
"362",302,"United States",18,"MCC","MCC","Millennium Challenge Corporation","885.33322",NA,"United States","United States","Millennium Challenge Corporation","MCC"
"363",302,"United States",19,"DHS","DHS","Department of Homeland Security","1.75948",NA,NA,NA,NA,NA
"364",302,"United States",20,"DOE","DOE","Department of Energy","60.96769",NA,NA,NA,NA,NA
"365",302,"United States",21,"IADF","IADF","Inter-American Development Foundation","27.09632",NA,"United States","United States","Inter-American Development Foundation","IADF"
"366",302,"United States",22,"OPIC","OPIC","Overseas Private Investment Corporation","251.34201",NA,NA,NA,NA,NA
"367",302,"United States",23,"FTC","FTC","Federal Trade Commission","0.16886",NA,NA,NA,NA,NA
"368",302,"United States",26,"DOT","DOT","Department of Transportation","0.16421",NA,NA,NA,NA,NA
"369",302,"United States",31,"EXIM","EXIM","Export Import Bank","0.98265",NA,NA,NA,NA,NA
"370",302,"United States",32,"EPA","EPA","Environmental Protection Agency","9.307",NA,NA,NA,NA,NA
"371",302,"United States",99,"MISC","MISC","Miscellaneous","NULL",NA,NA,NA,NA,NA
"372",964,"UNRWA",1,"UNRWA","NULL","NULL","680.10063",NA,NA,NA,NA,NA
"373",966,"WFP",1,"WFP","NULL","NULL","308.81258",NA,NA,NA,NA,NA
"374",928,"World Health Organisation [WHO]",1,"WHO","NULL","NULL","471.3630034",NA,NA,NA,NA,NA
